State name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Away_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity,Male_Literate_pct,Female_Literate_pct,Male_SC_pct,Female_SC_pct,Male_ST_pct,Female_ST_pct,Male_Workers_pct,Female_Workers_pct,Main_Workers_pct,Marginal_Workers_pct,Non_Workers_pct,Cultivator_Workers_pct,Agricultural_Workers_pct,Household_Workers_pct,Other_Workers_pct,Hindus_pct,Muslims_pct,Sikhs_pct,Jains_pct,Buddhists_pct,Others_Religions_pct,Religion_Not_Stated_pct,LPG_or_PNG_Households_pct,Housholds_with_Electric_Lighting_pct,Households_with_Internet_pct,Households_with_Computer_pct,Rural_Households_pct,Urban_Households_pct,Below_Primary_Education_pct,Primary_Education_pct,Middle_Education_pct,Secondary_Education_pct,Higher_Education_pct,Graduate_Education_pct,Other_Education_pct,Literate_Education_pct,Illiterate_Education_pct,Total_Education_pct,Age_Group_0_29_pct,Age_Group_30_49_pct,Age_Group_50_pct,Age not stated_pct,Households_with_Bicycle_pct,Households_with_Car_Jeep_Van_pct,Households_with_Scooter_Motorcycle_Moped_pct,Households_with_Telephone_Mobile_Phone_Landline_only_pct,Households_with_Telephone_Mobile_Phone_Mobile_only_pct,Households_with_Television_pct,Households_with_Telephone_Mobile_Phone_pct,Households_with_Telephone_Mobile_Phone_Both_pct,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car_pct,Ownership_Owned_Households_pct,Ownership_Rented_Households_pct,Type_of_latrine_facility_Pit_latrine_Households_pct,Type_of_latrine_facility_Other_latrine_Households_pct,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households_pct,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households_pct,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households_pct,Main_source_of_drinking_water_Un_covered_well_Households_pct,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households_pct,Main_source_of_drinking_water_Spring_Households_pct,Main_source_of_drinking_water_River_Canal_Households_pct,Main_source_of_drinking_water_Other_sources_Households_pct,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households_pct,Location_of_drinking_water_source_Near_the_premises_Households_pct,Location_of_drinking_water_source_Within_the_premises_Households_pct,Main_source_of_drinking_water_Tank_Pond_Lake_Households_pct,Main_source_of_drinking_water_Tapwater_Households_pct,Main_source_of_drinking_water_Tubewell_Borehole_Households_pct,Location_of_drinking_water_source_Away_Households_pct,Power_Parity_Less_than_Rs_45000_pct,Power_Parity_Rs_45000_90000_pct,Power_Parity_Rs_90000_150000_pct,Power_Parity_Rs_45000_150000_pct,Power_Parity_Rs_150000_240000_pct,Power_Parity_Rs_240000_330000_pct,Power_Parity_Rs_150000_330000_pct,Power_Parity_Rs_330000_425000_pct,Power_Parity_Rs_425000_545000_pct,Power_Parity_Rs_330000_545000_pct,Power_Parity_Above_Rs_545000_pct,Total_Power_Parity_pct
KERALA,8323,33406061,16027412,17378649,28135824,13704903,14430921,3039573,1477808,1561765,484839,238203,246636,11619063,8451569,3167494,9329747,2289316,21786998,670253,1322850,273022,9352938,18282492,8873472,6141269,3814,4752,4489,7618,88155,2765913,7284706,483609,1214644,5857785,5360068,11217853,2505698,5405604,6417918,7583656,3808994,2992499,683541,3633601,33031511,15711427,9796202,7863946,34486,1577993,788957,1857699,893306,3608956,665427,5929498,6919494,2417232,7345977,6996527,563891,2183566,16776,12052,342003,289724,3657463,323796,108527,15215,162466,342001,1086145,5999089,55793,2263713,285394,631136,8054,15744,14093,29837,4013,4103,8116,2070,2348,4418,1542,51966,85.50914521,83.03822121,9.220502973,8.986688206,1.486222479,1.41918972,52.73196321,18.2263535,27.92830618,6.852995928,65.21869789,2.006381417,3.959910149,0.817282828,27.99772772,54.72806866,26.56246123,0.01141709,0.013437681,0.014224964,0.022804245,0.263889239,24.65634912,64.93850472,4.311065584,10.82777605,52.2184147,47.7815853,7.500728685,16.1815067,19.21183704,22.70143732,11.40210455,8.957952271,2.04615863,88.0017252,10.87707108,98.87879628,47.0316659,29.32462465,23.54047668,0.103232764,14.06680048,7.033048124,16.56020096,7.963252861,32.17153942,52.85769033,61.68287283,21.54808055,5.931857014,62.36957286,5.026728377,19.46509729,0.149547333,0.107435888,3.048738471,2.582704551,32.60394837,2.886434686,0.967448941,0.135632014,1.4482807,3.048720642,9.682289472,53.47804968,0.497358987,20.17955664,2.544105365,5.626174634,0.07179627,0.140347712,0.125630101,0.265977812,0.035773334,0.036575626,0.07234896,0.018452729,0.020930921,0.03938365,0.013745946,0.463243724
LAKSHADWEEP,587,64473,33123,31350,52553,28023,24530,0,0,0,61120,30515,30605,18753,15318,3435,10804,7949,45720,0,0,264,18489,1788,62268,317,8,10,11,7,64,1779,10669,327,1501,5289,15953,21242,5641,13391,13836,13997,6642,3491,1059,5953,64010,33877,19244,11237,115,9027,245,4109,870,4977,842,6855,10023,4176,10467,8934,1582,43,0,0,45,195,6942,271,0,1,547,586,1534,8956,38,2168,5,213,104,369,426,795,136,162,298,158,184,342,322,1861,84.60284395,78.24561404,0,0,92.12631706,97.62360447,46.24581107,10.9569378,16.75740232,12.32919206,70.91340561,0,0,0.409473733,28.67712066,2.77325392,96.57996371,0.012408295,0.017061406,0.015510369,0.010857258,0.09926636,8.374917616,50.22596742,1.539403069,7.066189624,24.89878543,75.10121457,8.749398973,20.7699347,21.46014611,21.70986304,10.30198688,5.414669707,1.642548043,90.04854745,9.233322476,99.28186993,52.54447598,29.84815349,17.42900129,0.17836924,42.49599849,1.153375388,19.34375294,4.095659542,23.42999718,32.2709726,47.18482252,19.6591658,3.963845212,42.05818661,7.447509651,0.20242915,0,0,0.211844459,0.917992656,32.68053856,1.275774409,0,0.004707655,2.575087092,2.758685623,7.221542228,42.16175501,0.178890877,10.20619527,0.023538273,1.00273044,0.489596083,1.737124565,2.005460879,3.742585444,0.640241032,0.762640053,1.402881085,0.743809434,0.866208455,1.610017889,1.515864796,8.760945297
MADHYA PRADESH,22125,72626809,37612306,35014503,42851169,25174328,17676841,11342320,5908638,5433682,15316784,7719404,7597380,31574133,20146970,11427163,22702119,8872014,41052676,9844439,12192267,959259,8578168,66007121,4774695,213282,151412,216052,567028,599594,97625,2717504,10044644,212473,883603,13453987,5044776,18498763,10486391,10363593,7486768,5754570,4267299,3476419,391303,26761119,68987462,44264116,17814066,10465765,82862,5947760,401774,2815403,359303,6074734,426457,4811219,6886675,452638,4313282,13602044,1002274,347169,60975,41363,187638,10476518,2833019,8179527,44947,110669,86179,299795,6821967,3577237,58000,3496868,1134605,4568393,16130,32115,24381,56496,3729,2761,6490,2408,3756,6164,3989,89277,66.93109431,50.48434073,15.70932131,15.51837534,20.52361267,21.69780905,53.56483593,32.63551392,31.2585935,12.215894,56.5255125,13.55482794,16.78755706,1.320805655,11.81129684,90.88533822,6.574287189,0.208479489,0.780741998,0.297482435,0.82558219,0.13442006,14.69019307,54.29900367,1.148579502,4.776551816,72.72911708,27.27088292,14.43873295,14.26965213,10.30854598,7.923479056,5.875652612,4.786688343,0.538785891,58.14153696,36.8474388,94.98897577,60.94735072,24.52822346,14.41033297,0.114092855,32.15220391,2.171896575,15.21941224,1.942308251,32.83859575,26.00832823,37.2277595,2.446855501,2.305327118,73.5294787,5.418059575,1.876714675,0.329616634,0.223598735,1.014327282,56.63361383,15.31464023,44.216616,0.242973003,0.598250813,0.465863582,1.620621876,36.87796314,19.33770923,0.313534478,18.90325315,6.13341011,24.69566749,0.087195019,0.173606203,0.131798002,0.305404205,0.020158105,0.014925322,0.035083427,0.013017087,0.02030406,0.033321147,0.021563604,0.482610648
MAHARASHTRA,17990,112374333,58243056,54131277,81554290,45257584,36296706,13275898,6767759,6508139,10510213,5315025,5195188,49427878,32616875,16811003,43762890,5664988,62946455,12569373,13486140,1225426,22146939,89703057,12971152,1080073,223247,6531200,1400349,178965,286290,10335795,20004164,1379351,3174031,17519193,16050569,33569762,10211270,18242722,15861646,17831786,10618622,8463507,1209278,22824116,105262947,61782561,30272010,19912066,407696,7264830,1407482,5941782,1495311,12799041,1726271,13525610,16458761,2164409,12653950,19331240,3757010,2089655,209382,154331,389057,8094313,2913516,3699744,82609,86630,246243,511658,6564667,14153281,96176,16179312,1351069,3112632,15240,61796,70807,132603,29860,23999,53859,31912,40163,72075,43658,317442,77.70468637,67.05311238,11.61985559,12.02288097,9.125594303,9.597386738,56.00131113,31.0559882,38.9438485,5.041176084,56.01497541,11.18527039,12.00108569,1.090485672,19.70818283,79.82521863,11.54280667,0.198663693,1.246146662,5.812003351,0.159257897,0.254764582,30.78900291,59.58982968,4.108909083,9.455029797,52.18742093,47.81257907,9.086834802,16.23388679,14.11500792,15.86820186,9.449330391,7.531530354,1.076115842,73.36090796,20.31079108,93.67169903,54.97924602,26.93854477,17.71940751,0.362801708,21.64099346,4.192707711,17.69980377,4.454338997,38.12669569,40.29105121,49.0285305,6.447495815,5.142339109,57.5852757,11.1916492,6.224813271,0.623722027,0.459732184,1.158950725,24.11191655,8.678989145,11.02106116,0.246081578,0.258059619,0.733526201,1.524163323,19.55529801,42.16080233,0.286495925,48.1960879,4.024660645,9.272130079,0.045397998,0.18408233,0.210924939,0.395007269,0.088949097,0.071489932,0.160439028,0.09506174,0.119640407,0.214702148,0.130051562,0.945618858
MANIPUR,2484,2855794,1438586,1417208,1908476,1039858,868618,97328,48863,48465,1167422,588279,579143,1304610,739408,565202,974163,330447,1551184,574031,134077,91356,524305,1181876,239836,1179043,1527,7084,1692,233767,10969,150449,346635,10886,45707,397837,212127,609964,248408,476583,593970,394644,276496,251453,20342,737422,2999318,1700955,737266,409796,7777,226207,30423,100452,15423,265308,19524,240325,291705,10974,452865,474799,24691,175563,40739,27713,80450,45230,23671,34620,28389,76001,17046,239031,234183,81420,117595,195600,1833,191549,716,1308,807,2115,262,117,379,72,49,121,36,3366,72.28333933,61.29079147,3.396599161,3.419752076,40.89286285,40.86506709,51.398248,39.88137239,34.11180919,11.57110772,54.31708309,20.10057448,4.694911468,3.198970234,18.35934245,41.38519795,8.398224802,0.053470243,0.059247971,0.248057108,8.185709473,0.384096332,24.66522614,56.82876366,1.78469549,7.493393053,65.22302956,34.77697044,8.698386508,16.68828354,20.7987691,13.81906398,9.68193084,8.805011846,0.71230628,79.20375209,25.82196055,105.0257126,59.561544,25.81649797,14.34963446,0.272323564,37.08530339,4.987671404,16.4685129,2.528509879,43.49568171,39.39986622,47.82331416,1.799122571,3.20084464,77.8404955,4.047943813,28.78251831,6.678918756,4.543382888,13.18930298,7.415191716,3.880720829,5.675744798,4.654209101,12.45991567,2.794591156,39.18772255,38.39292155,13.34832875,19.27900663,32.06746628,0.300509538,31.40332872,0.117383977,0.214438885,0.13230289,0.346741775,0.042953355,0.01918146,0.062134815,0.011803975,0.008033261,0.019837236,0.005901988,0.551835846
MEGHALAYA,2072,2966889,1491832,1475057,1785005,913879,871126,17355,9157,8198,2555861,1269728,1286133,1185619,703709,481910,921575,264044,1781270,494675,198364,20488,472092,342078,130399,2213027,3045,9864,627,258271,9578,63768,327958,8079,40872,553593,167874,721467,487099,590822,403779,286005,135182,94205,18181,900507,2915780,2040423,632928,287754,5784,71766,28837,28858,8231,210473,13553,181191,231409,12705,338650,441123,84063,125335,7880,1792,46433,184572,99302,29283,102076,14143,14090,161080,232706,129528,30771,211347,14167,176065,503,1595,1021,2616,369,302,671,98,124,222,164,4176,61.25884148,59.05710762,0.613809062,0.555775133,85.11199653,87.19208817,47.17079403,32.67060188,31.06199794,8.899692574,60.03830949,16.67318865,6.685925897,0.690554989,15.91202098,11.52985501,4.395142521,0.102632758,0.021133248,0.332469465,8.705111651,0.322829738,8.838657901,45.45710337,1.119801737,5.665123977,76.73157608,23.26842392,16.417837,19.91385589,13.60950814,9.639895527,4.556355159,3.175211476,0.612796771,67.92545997,30.35189385,98.27735382,68.77314925,21.3330529,9.698846165,0.194951682,9.947232514,3.996995012,3.999905748,1.140869922,29.17292128,25.11424639,32.07478651,1.760995305,1.878533599,61.14250548,11.65167638,17.37224294,1.092219048,0.248382809,6.435914602,25.58287489,13.7639005,4.058813501,14.14839487,1.960311421,1.952965278,22.32673151,32.25455911,17.95341991,4.26505994,29.29406335,1.963637977,24.40374958,0.069719059,0.221077333,0.141517214,0.362594547,0.05114579,0.041859156,0.093004947,0.013583435,0.017187203,0.030770638,0.022731462,0.578820653
MIZORAM,2276,1097206,555339,541867,848175,438529,409646,1218,807,411,1036115,516294,519821,486705,290740,195965,415030,71675,610501,229603,41787,7852,207463,30136,14832,956331,286,93411,376,808,1026,116166,186155,5605,33650,123347,146084,269431,123782,220893,250675,162403,68119,52054,2565,190080,1070571,680399,272113,144061,633,9425,16072,30575,3694,141254,17044,121725,160756,15808,203185,145538,70292,67604,1266,583,14706,14550,6059,3778,40707,17040,15324,77098,103156,68882,4027,129807,1961,49039,175,570,623,1193,224,119,343,92,132,224,175,2108,78.96600095,75.59899385,0.145316644,0.075848871,92.96915938,95.93147396,52.35360744,36.16477844,37.82607824,6.532501645,55.64142012,20.92615243,3.808491751,0.715635897,18.90829981,2.74661276,1.351797201,0.026066208,0.034268861,8.513533466,0.073641595,0.093510243,43.11530596,69.09190108,2.080309987,12.48928297,45.78055235,54.21944765,11.28156426,20.13231791,22.8466669,14.80150491,6.208405714,4.744232168,0.233775608,80.24846747,17.32400297,97.57247044,62.01196494,24.80053882,13.12980425,0.057691992,3.498112689,5.965163623,11.34798891,1.371037483,52.42678088,45.17854293,59.66499772,5.867179352,6.325923891,54.01679836,26.08905434,25.09139631,0.469879116,0.216381931,5.458169253,5.400269457,2.24881324,1.402214296,15.10850645,6.324439281,5.687541523,28.61511853,38.28661141,25.56572926,1.494631279,48.17819776,0.727830131,18.20094941,0.064951694,0.211556948,0.231228032,0.44278498,0.083138169,0.044167152,0.127305321,0.034146034,0.048992135,0.083138169,0.064951694,0.782389554
NAGALAND,2926,1978502,1024649,953853,1342434,723957,618477,0,0,0,1710973,866027,844946,974122,547357,426765,741179,232943,1004380,537702,62962,22838,350620,173054,48963,1739651,1890,6759,2655,3214,2316,79824,326405,6935,35732,360385,174039,534424,226798,391795,406074,190484,103214,89079,7957,494894,1910295,1289918,475130,211983,1471,31453,31132,25274,5328,194245,13272,151670,212226,12653,306068,295232,85389,110689,4475,1208,40028,66116,76398,26603,22471,7950,10689,82169,169448,117149,41059,188593,17919,113368,439,1530,887,2417,392,129,521,117,125,242,146,3763,70.65414596,64.83986526,0,0,84.51938176,88.58241259,53.41897567,44.74117081,37.46162501,11.77370556,50.76466943,27.17722802,3.182306614,1.154307653,17.72148828,8.746718477,2.4747511,0.095526818,0.134192434,0.341622096,0.162446133,0.117058259,14.93645495,61.076037,1.297658788,6.686076973,67.43428439,32.56571561,11.46311705,19.80260824,20.52431587,9.627688019,5.216775116,4.502345714,0.402172957,71.53902296,25.01357087,96.55259383,65.19669932,24.01463329,10.71431821,0.074349179,5.885401853,5.825337185,4.729203778,0.996961214,36.34660869,28.38008772,39.71116567,2.367595767,2.483421403,55.24302801,15.97776297,20.7118318,0.837350119,0.226037753,7.489933087,12.37145038,14.29539093,4.97788273,4.20471386,1.487582893,2.000097301,15.37524512,31.70665988,21.92060985,7.68285107,35.28902145,3.352955706,21.21311917,0.082144514,0.286289538,0.165973085,0.452262623,0.073349999,0.024138138,0.097488137,0.021892729,0.023389668,0.045282397,0.027319132,0.704122569
NCT OF DELHI,846,16787941,8987326,7800615,12737767,7194856,5542911,2812309,1488800,1323509,0,0,0,5587049,4762026,825023,5307329,279720,11200892,33398,39475,181852,5332324,13712100,2158684,146093,570581,18449,166231,2197,13606,3003996,3310809,588951,972948,124422,4481133,4605555,1121440,2459701,2691147,2582915,2134748,2346885,224262,1982298,15543396,9665080,4762353,2343806,16702,1022199,692279,1298383,171323,2279781,766847,2939423,3031775,580671,2990741,2279303,941459,59339,69640,68424,31092,109349,626,457977,298,443,120728,162601,514341,2620082,41132,2716793,279589,206115,5202,15129,17127,32256,5301,5238,10539,4338,5103,9441,6921,64359,80.05558049,71.05735894,16.5655502,16.96672634,0,0,52.98601609,10.57638404,31.61393646,1.666195992,66.71986755,0.198940418,0.23513902,1.083229921,31.76282309,81.67827133,12.85853935,3.398755095,0.990180988,0.109894358,0.013086775,0.08104627,65.225494,71.88729697,12.7878399,21.1255321,2.701563655,97.29843634,6.680033007,14.65159426,16.03023861,15.38553775,12.71596082,13.97958809,1.335851728,80.77880426,11.80786852,92.58667278,57.57156283,28.36770155,13.96124754,0.099488079,22.19491462,15.03139144,28.19167288,3.719920835,49.50067907,63.82342628,65.82865692,12.60805701,16.65047969,49.4903003,20.44181429,1.288422351,1.512087034,1.485684136,0.67509779,2.374284967,0.013592281,9.944013262,0.006470447,0.009618819,2.621356167,3.530540836,11.16783971,56.88960397,0.893095403,58.98948118,6.07069072,4.47535639,0.112950556,0.328494611,0.371877005,0.700371616,0.115100135,0.113732221,0.228832356,0.094190602,0.110800978,0.204991581,0.150275048,1.397421158
ORISSA,11535,41974218,21212136,20762082,26742595,15089681,11652914,7188463,3617808,3570655,9590756,4727732,4863024,17541589,11902655,5638934,10707543,6834046,24432629,4103989,6739993,783080,5914527,39300341,911670,1161708,21991,13852,9420,478317,76919,949203,4155886,135393,491066,10554975,2204158,12759133,5501486,8066601,6700024,4093205,1829576,1689899,430264,13705186,42016241,23359384,11179683,7315980,119171,5894822,172660,1401091,176200,3441856,203125,2581277,3846884,228828,2129296,8728383,645697,337593,81285,30567,150103,7399391,1670951,5933204,175596,166557,75069,503516,4081087,2161677,86294,1337028,1929000,3418321,12551,15919,8744,24663,4766,3916,8682,987,1597,2584,1351,49831,71.13701798,56.12594151,17.05536868,17.19796213,22.28786389,23.42262207,56.11247731,27.15977136,25.50980938,16.28153263,58.20865799,9.77740431,16.05745937,1.865621416,14.09085692,93.62971575,2.17197614,0.052391685,0.022442348,0.03300121,1.139549521,0.183252967,7.439400467,32.57185265,1.061145769,3.848741133,82.72486069,17.27513931,13.10682191,19.21798996,15.96223663,9.751712349,4.358809019,4.026040461,1.02506734,67.44867766,32.65143856,100.1001162,55.65174317,26.63464272,17.42969935,0.283914759,46.20080377,1.353226744,10.98108312,1.380971575,26.97562601,20.23081819,30.15004233,1.793444743,1.591996886,68.40890365,5.060665172,2.645892946,0.637073068,0.239569569,1.176435734,57.99289811,13.09611711,46.50162358,1.376237711,1.30539434,0.588355024,3.946318296,31.98561376,16.94219349,0.676331221,10.47898787,15.11858212,26.7911699,0.098368753,0.124765531,0.068531302,0.193296833,0.037353635,0.030691741,0.068045376,0.007735635,0.012516524,0.02025216,0.010588494,0.390551615
PONDICHERRY,2542,1247953,612511,635442,957309,497378,459931,196325,95512,100813,0,0,0,444968,332931,112037,399689,45279,802985,12099,68391,7892,356586,1089409,75556,78550,297,451,1400,168,2122,212517,294205,18086,40958,122914,265085,387999,87059,177650,200672,198755,107261,161376,24537,197494,1154804,627771,387613,231468,1101,155259,16879,140352,15439,188881,31804,246521,243629,39309,206221,195610,93807,2318,859,638,930,81781,5336,7646,56,13,838,917,64688,233153,10,287026,4163,3435,1937,7324,8011,15335,4775,2854,7629,1974,3417,5391,4679,34971,81.20311309,72.37969791,15.59351587,15.86501994,0,0,54.35510546,17.63134952,32.02756835,3.628261641,64.34417001,0.969507666,5.480254465,0.632395611,28.57367225,87.2956754,6.054394677,0.023798973,0.112183712,0.036139182,0.013462045,0.170038455,54.77256385,75.82622636,4.66135222,10.55621277,31.67894763,68.32105237,6.976144134,14.23531175,16.08009276,15.92648121,8.594955098,12.93125623,1.966179816,76.71042099,15.82543573,92.53585672,50.30405793,31.0599037,18.5478139,0.088224476,40.01530932,4.350268944,36.17328911,3.979133967,48.68079557,63.53650396,62.79114121,10.13121168,8.196928343,50.41507839,24.17712417,0.59742422,0.221392323,0.164433413,0.239691339,21.07763164,1.375261276,1.970623636,0.014433027,0.003350524,0.215979938,0.236340815,16.67220792,60.09113426,0.002577326,73.97596386,1.07294091,0.88531156,0.499228091,1.887633731,2.064696043,3.952329774,1.230673275,0.735568906,1.966242181,0.508764198,0.880672373,1.389436571,1.205930943,9.01316756
PUNJAB,890,27743338,14639465,13103873,18707137,10436056,8271081,8860179,4639875,4220304,0,0,0,9897362,8074157,1823205,8450936,1446426,17845976,1934511,1588455,385960,5988436,10678138,535489,348230,16004754,33237,45040,10886,87564,2949753,5225793,292111,690096,4668757,3178690,7847447,2422485,4060061,3439808,3946146,2426383,1574711,308408,7079622,25257624,15143130,7481850,5076836,41522,3589937,709711,2566796,361086,3368428,543122,4468245,4442740,713226,4289132,4807947,474187,1040419,41199,28274,178623,1053245,11315,2519267,1668,12114,89659,108040,538325,4648254,4599,2758111,1182986,223120,3017,11530,15827,27357,9200,6311,15511,7349,10597,17946,9560,73388,71.28714062,63.11936173,31.69429347,32.20653924,0,0,55.15336114,13.91348191,30.46113629,5.213597585,64.32526612,6.972884806,5.725536704,1.391180831,21.58513154,38.48901671,1.930153466,57.68863862,0.162345281,0.119801734,0.039238249,0.315621718,37.58869604,66.5922688,3.722369836,8.793891822,59.49396027,40.50603973,8.73177193,14.63436375,12.39868108,14.22376067,8.74582215,5.675996883,1.111647056,65.52204353,25.51827758,91.0403211,54.58294168,26.96809591,18.29929765,0.149664759,45.74655936,9.043845725,32.70867583,4.60131811,42.92387066,56.93883629,56.61382613,9.088637362,6.921002461,61.26765813,6.042563906,13.25805705,0.524998767,0.36029552,2.276192499,13.42149874,0.14418702,32.10301388,0.02125532,0.154368676,1.142524441,1.376753484,6.859874301,59.23269058,0.058605047,35.14660246,15.07478802,2.843217673,0.038445624,0.146926765,0.201683426,0.348610191,0.11723558,0.080421059,0.197656639,0.093648291,0.135037548,0.228685839,0.121823059,0.935183124
RAJASTHAN,3795,68548437,35550997,32997440,38275282,23688412,14586870,12221593,6355564,5866029,9238534,4742943,4495591,29886255,18297076,11589179,21057968,8828287,38662182,13618870,4939664,720573,10607148,60657103,6215377,96430,872930,12185,622023,4676,67713,2873314,8430040,226501,869923,13296654,4774309,18070963,10023840,9701209,7804790,4979245,3241557,3500508,538033,30026672,69815854,42814434,15938006,9526395,269602,3598136,586254,3026614,312904,7861580,447438,4727542,8882714,708230,4399688,11728014,673787,816719,105414,94061,232167,8095074,1209912,4715973,9213,105638,545324,1397763,4909095,4408822,737588,5105877,1537886,3263386,10831,32555,30478,63033,6317,4698,11015,5076,8235,13311,10589,108763,66.63220162,44.20606568,17.87731579,17.77722454,13.34123766,13.62405993,51.46712482,35.12144882,30.71983684,12.87890342,56.40125974,19.86751354,7.206092825,1.051188082,15.47394582,88.48794466,9.067131611,1.273449896,0.907421128,0.017775752,0.006821454,0.098781246,15.9001709,46.64964452,1.253397508,4.813927183,73.58021817,26.41978183,14.623003,14.15234165,11.38580301,7.263834477,4.728856181,5.106619718,0.784894629,58.04535266,43.80358373,101.8489364,62.45865825,23.25072124,13.89731906,0.393301455,19.91114696,3.24417686,16.74849315,1.731529194,43.50393501,26.16098544,49.15462447,3.919160257,2.476005291,64.89977319,3.728561671,4.519510111,0.583333605,0.520509062,1.284751676,44.79602996,6.695337708,26.09696561,0.050982341,0.584573163,3.017680906,7.734856189,27.16565243,24.39727202,4.081619779,28.25459274,8.510260355,18.05872769,0.059935931,0.180150886,0.16865731,0.348808196,0.034956632,0.025997508,0.06095414,0.028089261,0.045570344,0.073659605,0.058596767,0.601866099
SIKKIM,970,610577,323070,287507,444952,251269,193683,28275,14454,13821,206360,105261,101099,308138,194358,113780,230397,77741,302439,117401,25986,5143,159608,352662,9867,60522,1868,167216,314,16300,1828,52871,118578,4284,14834,115395,53627,169022,94633,125319,94096,54858,34950,32907,3970,98437,539170,364810,161866,82725,1176,1135,10599,3630,2249,86696,5021,70100,93491,4546,111734,82619,39144,15365,219,93,4384,14512,214,74,14163,533,2502,18004,38007,67403,806,109268,53,22721,142,324,215,539,87,84,171,19,15,34,29,913,77.77540471,67.36635978,4.473953013,4.807187303,32.58148389,35.1640134,60.15971771,39.57468862,37.73430706,12.73238265,49.5333103,19.22787789,4.255974267,0.842318004,26.14051954,57.75880847,1.616012395,0.305940119,0.051426765,27.38655403,2.669605963,0.299388939,31.28054336,70.15536439,2.534581297,8.776372307,68.27217759,31.72782241,15.49894608,20.52468403,15.41099648,8.984616191,5.724093767,5.389492234,0.650204642,72.18303343,16.12196332,88.30499675,59.74840192,26.51033367,13.54865971,0.1926047,0.671510218,6.270781318,2.147649418,1.330596017,51.29273112,41.47389097,55.31291785,2.689590704,2.970619209,48.88061909,23.15911538,9.090532593,0.129568932,0.055022423,2.593745193,8.585864562,0.126610737,0.043781283,8.379382566,0.315343565,1.480280674,10.6518678,22.48642189,39.8782407,0.476861,64.64720569,0.031356865,13.44262877,0.084012732,0.191691022,0.127202376,0.318893398,0.051472589,0.049697672,0.101170262,0.01124114,0.008874584,0.020115725,0.01715753,0.540166369
